date,replication,Li,NA,NH4,K,Ca,Mg,F,Cl,NO2,Br,NO3,SO4,PO4,SbOC,pH,EC,Temp.,Salinity,,,,
2023/3/29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,21.40,22.6,1.24,,,,
2023/3/29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,18.74,23.0,1.02,,,,
2023/5/1,1,0.23 ,254.85 ,0.01 ,185.65 ,224.38 ,655.53 ,0.85 ,496.19 ,0.00 ,1.13 ,0.03 ,54.81 ,0.00 ,1.72 ,6.13 ,28.30 ,27.6,1.64 ,,,,
2023/5/1,2,0.17 ,241.33 ,0.01 ,179.71 ,213.67 ,619.85 ,0.04 ,450.98 ,0.00 ,1.04 ,0.02 ,49.66 ,0.00 ,1.84 ,6.32 ,27.20 ,29.0,1.61 ,,,,
2023/6/9,1,0.04 ,339.60 ,20.40 ,56.54 ,0.08 ,44.22 ,0.14 ,701.32 ,0.68 ,1.97 ,3.36 ,100.88 ,0.07 ,5.01 ,7.09 ,0.79 ,25.7,0.05 ,,,,
2023/6/9,2,0.04 ,239.26 ,15.04 ,42.27 ,0.00 ,41.05 ,0.11 ,485.37 ,0.62 ,1.35 ,3.53 ,82.20 ,0.00 ,4.58 ,7.32 ,0.75 ,28.1,0.04 ,,,,
2023/7/28,1,0.08 ,1094.58 ,0.12 ,46.01 ,135.08 ,153.98 ,0.37 ,1920.54 ,0.96 ,5.17 ,0.87 ,426.26 ,0.00 ,0.64 ,7.38 ,6.70 ,24.9,0.36 ,,,,
2023/7/28,2,0.05 ,1051.13 ,0.06 ,43.80 ,128.46 ,146.12 ,0.35 ,1943.10 ,1.23 ,5.27 ,0.73 ,439.32 ,0.00 ,2.79 ,7.80 ,6.66 ,24.8,0.35 ,,,,
2023/9/22,1,0.02 ,97.40 ,0.79 ,6.55 ,13.19 ,12.21 ,4.72 ,80.93 ,0.45 ,1.09 ,0.16 ,65.34 ,0.00 ,2.87 ,7.74 ,0.69 ,27.7,0.04 ,,,,
2023/9/22,2,0.00 ,55.66 ,1.31 ,4.63 ,15.93 ,10.12 ,0.00 ,77.71 ,0.12 ,1.16 ,1.27 ,21.05 ,0.00 ,2.96 ,8.01 ,0.46 ,27.1,0.02 ,,,,
2023/9/22,3,0.01 ,74.98 ,1.20 ,5.58 ,14.76 ,11.38 ,0.00 ,127.50 ,0.15 ,1.19 ,1.06 ,25.71 ,0.00 ,3.53 ,7.83 ,0.92 ,27.2,0.04 ,,,,
2023/9/22,4,0.00 ,75.50 ,1.13 ,5.59 ,15.22 ,11.94 ,0.15 ,104.86 ,0.42 ,1.02 ,1.03 ,27.98 ,0.00 ,3.02 ,8.04 ,0.69 ,28.4,0.04 ,,,,
2023/9/22,5,0.01 ,99.91 ,1.77 ,7.71 ,15.77 ,15.97 ,0.21 ,316.09 ,0.00 ,1.97 ,0.00 ,18.12 ,0.00 ,2.82 ,7.95 ,0.80 ,28.2,0.04 ,,,,
2023/9/22,6,0.02 ,118.29 ,4.44 ,8.08 ,14.39 ,16.39 ,0.00 ,136.38 ,0.12 ,1.23 ,1.06 ,23.38 ,0.00 ,6.46 ,7.40 ,1.87 ,28.1,0.10 ,,,,
2023/10/19,1,0.07 ,2834.04 ,0.78 ,98.95 ,133.20 ,422.08 ,0.42 ,5464.00 ,1.00 ,13.38 ,1.21 ,713.04 ,0.00 ,3.93 ,7.10 ,16.61 ,27.7,0.90 ,,,,
2023/10/19,2,0.09 ,2824.79 ,0.35 ,104.42 ,134.53 ,424.50 ,0.51 ,5605.32 ,1.61 ,13.89 ,0.79 ,750.62 ,0.00 ,3.05 ,7.23 ,16.96 ,28.9,0.89 ,,,,
2023/10/19,3,0.18 ,2905.38 ,0.00 ,108.62 ,137.61 ,435.57 ,0.52 ,5751.81 ,0.00 ,12.42 ,0.42 ,762.32 ,0.00 ,3.12 ,7.78 ,17.58 ,33.6,0.93 ,,,,
2023/10/19,4,0.00 ,1633.56 ,0.24 ,62.24 ,78.91 ,240.79 ,0.63 ,6347.89 ,0.00 ,13.66 ,0.31 ,844.19 ,0.00 ,3.42 ,7.43 ,18.32 ,32.0,0.99 ,,,,
2023/10/19,5,0.23 ,3137.46 ,0.24 ,114.06 ,147.87 ,470.79 ,0.43 ,5671.11 ,0.00 ,12.25 ,0.22 ,742.60 ,0.00 ,3.48 ,7.77 ,18.09 ,31.3,0.98 ,,,,
2023/10/19,6,0.00 ,1859.79 ,1.02 ,71.67 ,106.26 ,261.93 ,0.23 ,5652.60 ,0.00 ,12.22 ,0.00 ,584.91 ,0.00 ,7.31 ,7.51 ,15.34 ,32.5,0.80 ,,,,
2023/11/24,1,0.22 ,4762.07 ,0.00 ,171.49 ,1581.28 ,555.22 ,1.34 ,9140.99 ,2.87 ,26.27 ,2.07 ,1251.79 ,0.00 ,0.95 ,7.29 ,26.30 ,20.3,1.54 ,,,,
2023/11/24,2,0.09 ,4536.32 ,0.00 ,166.24 ,1485.62 ,510.18 ,1.22 ,8883.72 ,2.52 ,24.60 ,1.35 ,1218.68 ,0.00 ,0.83 ,7.30 ,25.20 ,20.3,1.41 ,,,,
2023/11/24,3,0.14 ,4593.04 ,0.00 ,169.16 ,1501.63 ,484.25 ,1.16 ,8828.99 ,3.61 ,26.59 ,2.15 ,1209.48 ,0.00 ,0.84 ,7.53 ,25.30 ,20.7,1.49 ,,,,
2023/11/24,4,0.15 ,4586.84 ,0.00 ,171.80 ,1520.23 ,509.94 ,1.19 ,8888.27 ,2.87 ,25.49 ,2.29 ,1217.67 ,0.00 ,1.19 ,7.48 ,25.40 ,20.6,1.48 ,,,,
2023/11/24,5,0.12 ,5050.66 ,0.08 ,189.16 ,1618.67 ,556.47 ,1.34 ,9787.76 ,1.52 ,21.54 ,0.25 ,1349.27 ,0.00 ,1.58 ,7.50 ,27.60 ,20.7,1.62 ,,,,
2023/11/24,6,0.55 ,4546.70 ,0.00 ,169.65 ,1561.45 ,570.66 ,1.09 ,8808.00 ,3.54 ,26.79 ,1.91 ,1174.91 ,0.00 ,1.44 ,7.23 ,25.20 ,20.0,1.47 ,,,,
2023/12/21,1,0.01 ,469.13 ,0.00 ,19.27 ,225.26 ,53.64 ,0.00 ,479.55 ,0.00 ,2.19 ,1.97 ,57.74 ,0.00 ,1.97 ,7.50 ,3.07 ,13.8,0.17 ,,,,
2023/12/21,2,0.01 ,472.61 ,0.00 ,19.94 ,222.95 ,52.51 ,0.00 ,443.92 ,0.00 ,1.55 ,1.23 ,59.30 ,0.00 ,1.66 ,7.68 ,3.11 ,13.9,0.17 ,,,,
2023/12/21,3,0.01 ,371.08 ,0.80 ,16.83 ,186.55 ,40.74 ,0.00 ,393.07 ,0.00 ,1.57 ,1.40 ,40.80 ,0.00 ,1.41 ,7.85 ,2.49 ,13.4,0.13 ,,,,
2023/12/21,4,0.00 ,650.46 ,0.00 ,25.92 ,253.77 ,62.20 ,0.00 ,668.29 ,0.00 ,2.25 ,0.81 ,65.18 ,0.00 ,1.96 ,7.76 ,4.30 ,13.0,0.23 ,,,,
2023/12/21,5,0.00 ,596.05 ,0.01 ,24.20 ,247.54 ,61.31 ,0.00 ,522.00 ,0.00 ,1.80 ,0.85 ,55.08 ,0.00 ,1.91 ,7.92 ,3.86 ,13.2,0.21 ,,,,
2023/12/21,6,0.00 ,849.43 ,0.00 ,31.28 ,357.11 ,73.73 ,0.00 ,1486.02 ,0.00 ,4.50 ,0.92 ,153.28 ,0.00 ,2.31 ,6.60 ,4.94 ,14.9,0.26 ,,,,
2024/1/23,1,0.02 ,107.64 ,0.72 ,6.25 ,112.57 ,14.11 ,0.00 ,82.37 ,0.00 ,0.82 ,1.66 ,14.26 ,0.00 ,5.57 ,7.00 ,0.54 ,13.6,0.03 ,,,,
2024/1/23,2,0.00 ,213.38 ,0.92 ,10.77 ,145.23 ,26.12 ,0.00 ,336.65 ,0.00 ,1.32 ,2.34 ,40.67 ,0.00 ,6.54 ,7.06 ,1.07 ,13.8,0.08 ,,,,
2024/1/23,3,0.00 ,788.63 ,0.00 ,34.40 ,307.15 ,71.10 ,0.00 ,1404.98 ,0.00 ,4.22 ,1.66 ,152.53 ,0.00 ,7.03 ,7.19 ,2.77 ,13.5,0.16 ,,,,
2024/1/23,4,0.01 ,569.04 ,0.00 ,24.44 ,242.97 ,57.96 ,0.00 ,578.36 ,0.00 ,1.97 ,0.90 ,58.54 ,0.00 ,6.92 ,7.25 ,2.18 ,13.1,0.12 ,,,,
2024/1/23,5,0.00 ,374.83 ,1.47 ,17.20 ,191.54 ,45.67 ,0.00 ,476.53 ,0.00 ,1.69 ,1.42 ,50.83 ,0.00 ,5.32 ,7.37 ,1.64 ,13.3,0.09 ,,,,
2024/1/23,6,0.01 ,432.09 ,1.47 ,20.22 ,182.27 ,51.06 ,0.00 ,314.96 ,0.00 ,1.43 ,0.59 ,36.95 ,0.00 ,8.89 ,7.10 ,2.11 ,13.3,0.13 ,,,,
2024/2/21,1,0.07 ,3228.11 ,0.56 ,125.67 ,155.76 ,405.77 ,0.42 ,6257.51 ,0.33 ,14.62 ,0.78 ,814.11 ,0.00 ,2.68 ,3.86 ,11.88,25.3,0.64 ,,,,
2024/2/21,2,0.08,1878.34,0.11,73.77,84.10,227.43,0.47,9761.10,4.90,22.43,1.35,1351.94,0.00,1.41,6.93,2.30,25.3,1.51,,,,
2024/2/21,3,0.02,5409.11,0.00,233.30,222.15,469.13,0.46,10036.20,8.08,24.13,1.24,1393.02,0.00,1.32,7.21,27.60,25.5,1.61,,,,
2024/2/21,4,0.30,3768.22,0.07,171.18,158.98,413.85,0.48,10452.08,1.94,20.64,0.98,1254.60,0.00,1.48,6.89,57.90,26.9,0.24,,,,
2024/2/21,5,0.06,3659.76,0.00,139.12,156.04,453.85,0.50,9799.61,5.28,22.66,1.13,1358.80,0.00,1.12,7.14,28.90,25.2,1.62,,,,
2024/2/21,6,0.02,5025.47,0.00,192.99,217.83,574.63,0.47,9186.09,1.84,20.73,1.24,1269.32,0.00,1.30,7.04,25.20,26.1,1.60,,,,
2024/3/26,1,0.01,461.86,0.00,17.66,19.81,50.88,0.00,8568.51,1.78,19.05,0.68,1168.73,0.00,2.39,6.72,1.73,22.0,0.09,,,,
2024/3/26,2,0.01,543.49,0.00,20.82,22.50,50.64,0.00,9852.90,1.64,21.96,0.68,1370.46,0.00,2.04,6.81,1.82,21.9,0.10,,,,
2024/3/26,3,0.00,470.09,0.00,17.43,20.16,56.21,0.00,9020.79,1.52,19.96,0.57,1247.81,0.00,1.89,,1.75,21.1,0.10,,,,
2024/3/26,4,0.00,545.51,0.00,20.54,22.52,58.47,0.00,10007.15,2.07,22.27,0.55,1401.30,0.00,3.80,,1.82,21.6,0.10,,,,
2024/3/26,5,0.00,539.52,0.00,20.41,22.61,61.63,0.00,9665.99,1.64,21.54,0.55,1346.54,0.00,1.85,,1.58,21.0,0.09,,,,
2024/3/26,6,0.01,492.91,0.00,18.91,20.91,53.91,0.00,9078.77,1.50,20.13,0.57,1253.31,0.00,1.81,6.45,1.79,22.2,0.10,,,,
2024/4/22,1,0.06,1807.88,0.47,131.54,138.39,406.96,0.36,3220.37,2.07,6.58,2.30,396.88,0.00,2.55,6.32,10.7,26.6,0.6,,,,
2024/4/22,2,0.09,1958.68,0.43,122.27,159.15,428.22,0.34,3189.49,0.00,6.82,0.72,398.40,0.00,1.78,6.75,1.5,26.6,0.32,,,,
2024/4/22,3,0.00,2558.56,0.00,159.26,182.10,492.93,0.36,3492.21,0.77,8.67,0.44,435.83,0.00,1.69,7.2,1.14,26.9,0.05,,,,
2024/4/22,4,0.08,2461.19,0.00,152.90,175.84,487.45,0.39,4141.01,0.00,8.79,0.62,649.06,0.00,1.77,7.3,0.65,26.6,0.02,,,,
2024/4/22,5,0.02,2319.28,0.00,145.17,167.37,473.75,0.55,7160.94,3.41,17.86,1.00,966.67,0.00,1.90,7.3,0.8,26.8,0.03,,,,
2024/4/22,6,0.01,2203.16,0.09,137.48,160.02,492.36,0.66,6740.35,2.57,19.34,2.40,907.51,0.00,1.90,6.96,1.35,26.6,0.07,,,,
